CODIGO ORDEN DE SERVICIO,DENOMINACION DEL SERVICIO,TIPO DE INTERVENCION,CODIGO ENTIDAD,ENTIDAD,REGION,PROVINCIA,DISTRITO,¿TIENE SITUACIONES DE INCUMPLIMIENTO?,N° INFORME DE CONTROL,TIPO DE VISITA,VALOR REFERENCIAL MONTO,MONTO ADJUDICADO,CANTIDAD SITUACION ADVERSAS,SITUACION ADVERSAS 1,SITUACION ADVERSAS 2,SITUACION ADVERSAS 3,SITUACION ADVERSAS 4,SITUACION ADVERSAS 5,SITUACION ADVERSAS 6,FECHA VISITA,MES DE VISITA,,,
02-L531-2021-404,"EJECUCION DE LA OBRA: MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR, PEATONAL DE LA URB. SAN JAVIER, A.V. AVIACION, CALLE N.º 11, CALLE N.º 12, DE LA CIUDAD DE ABANCAY DEL DISTRITO DE ABANCAY - PROVINCIA DE ABANCAY - DEPARTAMENTO DE APURIMAC",EJECUCION DE OBRA,347,MUNICIPALIDAD PROVINCIAL DE ABANCAY,APURIMAC,ABANCAY,ABANCAY,SI,13840-2021-CG/PC-SVC,NO PRECISA,"S/ 2,769,891.37",S/ 0.00,3,"CARENCIA DE SEÑALIZACION Y MEDIDAS DE PROTECCION ADECUADAS EN AREAS DE TRABAJO Y CIRCULACION, PONE EN RIESGO LA INTEGRIDAD FISICA DE LOS TRABAJADORES Y LOS CIUDADANOS QUE TRANSITAN POR LA OBRA Y SUS INMEDIACIONES.","AUSENCIA DEL SUPERVISOR DURANTE LA EJECUCION DE LA OBRA, GENERA EL RIESGO QUE EL PROCESO CONSTRUCTIVO SE EJECUTE CON DEFICIENCIAS TECNICAS Y/O AFECTE LA CALIDAD DE LOS TRABAJOS.","LA ENTIDAD NO ACTUALIZA LA INFORMACION DE LA OBRA EN EL APLICATIVO INFORMATICO INFOBRAS, VULNERANDO LOS PRINCIPIOS DE PUBLICIDAD Y TRANSPARENCIA.",,,,17/08/2021,AGOSTO,,,
02-L531-2021-405,"IMPLEMENTACION DEL PLAN COVID EN LA OBRA: MEJORAMIENTO DE LA LOSA DEPORTIVA JUAN PABLO CASTRO DE LA CIUDAD DE ABANCAY, DISTRITO DE ABANCAY - PROVINCIA DE ABANCAY - DEPARTAMENTO DE APURIMAC",IMPLEMENTACION PLAN COVID EN OBRAS,347,MUNICIPALIDAD PROVINCIAL DE ABANCAY,APURIMAC,ABANCAY,ABANCAY,SI,13841-2021-CG/PC-SVC,NO PRECISA,"S/ 666,201.42",S/ 0.00,4,"CARENCIA DE SEÑALIZACION Y MEDIDAS DE PROTECCION ADECUADAS EN AREAS DE TRABAJO Y CIRCULACION, ASI COMO INSTALACIONES ELECTRICAS PROVISIONALES SIN LA ADECUADA PREVENCION; PONE EN RIESGO LA INTEGRIDAD FISICA DE LOS TRABAJADORES Y LOS CIUDADANOS QUE TRANSITAN POR LA OBRA Y SUS INMEDIACIONES","INADECUADO ALMACENAMIENTO DE CEMENTO PORTLAND TIPO I, ADQUIRIDO PARA LA OBRA, PODRIA GENERAR DISMINUCION DE SU VIDA UTIL Y AFECTARIA LA CALIDAD DE LA OBRA.","AUSENCIA DEL SUPERVISOR DURANTE LA EJECUCION DE LA OBRA, GENERA EL RIESGO QUE EL PROCESO CONSTRUCTIVO SE EJECUTE CON DEFICIENCIAS TECNICAS Y/O AFECTE LA CALIDAD DE LOS TRABAJOS.","LA ENTIDAD NO HA REGISTRADO LA FICHA DE OBRA EN EL APLICATIVO INFORMATICO INFOBRAS, VULNERANDO LOS PRINCIPIOS DE PUBLICIDAD Y TRANSPARENCIA",,,18/08/2021,AGOSTO,,,
02-L531-2021-407,"EJECUCION DE LA OBRA: MEJORAMIENTO DE LA LOSA DEPORTIVA JUAN PABLO CASTRO DE LA CIUDAD DE ABANCAY, DISTRITO DE ABANCAY - PROVINCIA DE ABANCAY - DEPARTAMENTO DE APURIMAC",EJECUCION DE OBRA,347,MUNICIPALIDAD PROVINCIAL DE ABANCAY,APURIMAC,ABANCAY,ABANCAY,SI,13842-2021-CG/PC-SVC,NO PRECISA,"S/ 666,201.42",S/ 0.00,2,"INCONSISTENCIAS EN EL PLAN PARA LA VIGILANCIA, LA PREVENCION Y EL CONTROL DE LA COVID-19, SITUACION QUE PONE EN RIESGO EL CUMPLIMIENTO DE LAS MEDIDAS PARA DISMINUIR LA TRANSMISIBILIDAD DE LA COVID-19 DURANTE LA EJECUCION DE LA OBRA.","DURANTE LA EJECUCION DE LA OBRA NO SE CUMPLEN LAS MEDIDAS PREVENTIVAS Y LOS PROTOCOLOS SANITARIOS PARA EVITAR EL CONTAGIO DEL COVID-19, SITUACION QUE PONE EN RIESGO LA SALUD DE LOS TRABAJADORES Y LAS PERSONAS QUE POR ALGUN MOTIVO INGRESEN A LA OBRA.",,,,,17/08/2021,AGOSTO,,,
02-L531-2021-496,"OPERACION Y MANTENIMIENTO DE LAS CAMARAS DE VIDEOVIGILANCIA EN LA MUNICIPALIDAD PROVINCIAL DE ABANCAY, PROVINCIA DE ABANCAY, DEPARTAMENTO DE APURIMAC",VC CAMARAS,347,MUNICIPALIDAD PROVINCIAL DE ABANCAY,APURIMAC,ABANCAY,ABANCAY,SI,19245-2021-CG/PC-SVC,NO PRECISA,S/ 0.00,S/ 0.00,2,"CINCO (05) DE ONCE (11) CAMARAS DE VIDEOVIGILANCIA DE LA ENTIDAD NO SE ENCUENTRAN EN FUNCIONAMIENTO, SITUACION QUE PODRIA AFECTAR EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA A CARGO DEL GOBIERNO LOCAL","LA ENTIDAD NO ALMACENA LAS GRABACIONES POR EL PLAZO MINIMO ESTABLECIDO EN LA NORMATIVA APLICABLE, SITUACION QUE PODRIA AFECTAR QUE LA CIUDADANIA Y LAS ENTIDADES COMPETENTES UTILICEN OPORTUNAMENTE DICHAS GRABACIONES Y EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA.",,,,,17/09/2021,SEPTIEMBRE,,,
02-L531-2021-498,"OPERACION Y MANTENIMIENTO DE LAS CAMARAS DE VIDEOVIGILANCIA EN LA MUNICIPALIDAD PROVINCIAL DE ANDAHUAYLAS, PROVINCIA DE ANDAHUAYLAS, DEPARTAMENTO DE APURIMAC",VC CAMARAS,349,MUNICIPALIDAD PROVINCIAL DE ANDAHUAYLAS,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,SI,19252-2021-CG/PC-SVC,NO PRECISA,S/ 0.00,S/ 0.00,1,"LA ENTIDAD NO ALMACENA LAS GRABACIONES DE MANERA CONTINUA POR EL PLAZO MINIMO ESTABLECIDO EN LA NORMATIVA APLICABLE, SITUACION QUE PODRIA AFECTAR QUE LA CIUDADANIA Y LAS ENTIDADES COMPETENTES UTILICEN OPORTUNAMENTE DICHAS GRABACIONES Y EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA",,,,,,18/10/2021,OCTUBRE,,,
02-L531-2021-648,"EJECUCION DE LA OBRA: MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL EN EL CERCADO DE ANDAHUAYLAS, PROVINCIA DE ANDAHUAYLAS - APURIMAC (II ETAPA)",EJECUCION DE OBRA,349,MUNICIPALIDAD PROVINCIAL DE ANDAHUAYLAS,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,SI,20248-2021-CG/PC-SVC,NO PRECISA,"S/ 4,654,475.50",S/ 0.00,6,"CARENCIA DE SEÑALIZACION Y MEDIDAS DE PROTECCION ADECUADAS EN AREAS DE TRABAJO Y CIRCULACION, PONE EN RIESGO LA INTEGRIDAD FISICA DE LOS TRABAJADORES Y LOS CIUDADANOS QUE TRANSITAN POR LA OBRA Y SUS INMEDIACIONES.","AUSENCIA DEL SUPERVISOR DURANTE LA EJECUCION DE LA OBRA, GENERA EL RIESGO QUE EL PROCESO CONSTRUCTIVO SE EJECUTE CON DEFICIENCIAS TECNICAS Y/O AFECTE LA CALIDAD DE LOS TRABAJOS.","LA NO PERMANENCIA DEL CUADERNO DE OBRA, GENERA EL RIESGO DE NO LLEVAR UN CONTROL ADECUADO DE LOS INGRESOS Y SALIDAS DIARIAS DE LOS MATERIALES, PERSONAL Y EQUIPOS, ASI COMO DE CUALQUIER OCURRECIA EN OBRA; ADEMAS DE QUE SE AFECTE LA TRANSPARENCIA Y LA EFICIENTE EJECUCION DE LA MISMA.","INADECUADO CONTROL EN ALMACEN DE OBRA, GENERA EL RIESGO DE NO TENER UN OPORTUNO ABASTECIMIENTO DE MATERIALES E INSUMOS, ASIMISMO COBRECOSTO EN EL PRESUPUESTO DE OBRA POR POSIBLES PERDIDAS O SUSTRACCION, ADEMAS, AFECTA LA TRANSPARENCIA Y EFICIENTE EJECUCION DE LA OBRA.","INADECUADO ALMACENAMIENTO DE BOLSAS DE CEMENTO, ACELERA SU DETERIORO Y GENERA EL RIESGO EN LA CALIDAD DEL MATERIAL, AFECTANDO LA RESISTENCIA Y DURABILIDAD DE LA OBRA.","NO SE REALIZAN LAS PRUEBAS DE CONTROL DE CALIDAD DE LAS ESTRUCTURAS DE CONCRETO, LO CUAL, GENERA EL RIESGO DE AFECTAR LA CALIDAD Y DURABILIDAD DE LAS PARTIDAS EJECUTADAS, ASI COMO LA TRANSPARENTE Y EFICIENTE EJECUCION DE LA OBRA.",18/10/2021,OCTUBRE,,,
02-L531-2021-649,"IMPLEMENTACION DE MEDIDAS PARA VIGILAR, PREVENIR Y CONTROLAR LA PROPAGACION DEL COVID-19 EN LA OBRA: MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL EN EL CERCADO DE ANDAHUAYLAS, PROVINCIA DE ANDAHUAYLAS - APURIMAC (II ETAPA)",IMPLEMENTACION PLAN COVID EN OBRAS,349,MUNICIPALIDAD PROVINCIAL DE ANDAHUAYLAS,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,SI,20249-2021-CG/PC-SVC,NO PRECISA,"S/ 4,654,475.50",S/ 0.00,2,"INCONGRUENCIAS Y NO APROBACION DEL PLAN PARA LA VIGILANCIA, PREVENCION Y EL CONTROL DEL COVID-19, PODRIA AFECTAR EL CUMPLIMIENTO DE LAS MEDIDAS PARA DISMINUIR LA TRANSMISIBILIDAD DE LA COVID-19 DURANTE LA EJECUCION DE LA OBRA.","DURANTE LA EJECUCION DE LA OBRA NO SE CUMPLEN LAS MEDIDAS PREVENTIVAS Y LOS PROTOCOLOS SANITARIOS PARA EVITAR EL CONTAGIO DEL COVID-19, SITUACION QUE PODRIA AFECTAR LA SALUD DE LOS TRABAJADORES Y LAS PERSONAS QUE POR ALGUN MOTIVO INGRESEN A LA OBRA.",,,,,18/10/2021,OCTUBRE,,,
02-L531-2021-629,"OPERACION Y MANTENIMIENTO DE LAS CAMARAS DE VIDEOVIGILANCIA EN LA MUNICIPALIDAD PROVINCIAL DE CAMANA, PROVINCIA DE CAMANA, DEPARTAMENTO DE AREQUIPA",VC CAMARAS,354,MUNICIPALIDAD PROVINCIAL DE CAMANA,AREQUIPA,CAMANA,CAMANA,SI,20230-2021-CG/PC-SVC,NO PRECISA,S/ 0.00,S/ 0.00,1,"LA ENTIDAD EN DIECISIETE (17) CAMARAS DE VIDEOVIGILANCIA NO ALMACENA LAS GRABACIONES POR EL PLAZO MINIMO ESTABLECIDO EN LA NORMATIVA APLICABLE, SITUACION QUE PODRIA AFECTAR QUE LA CIUDADANIA Y LAS ENTIDADES COMPETENTES UTILICEN OPORTUNAMENTE DICHAS GRABACIONES Y EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA.",,,,,,22/10/2021,OCTUBRE,,,
02-L531-2021-424,"IMPLEMENTACION DEL PLAN COVID EN LA OBRA: CONSTRUCCION DE PISTAS, VEREDAS Y OBRAS COMPLEMENTARIAS EN LA VIA SANTA ANA - ANDAMARCA - DISTRITO DE AYACUCHO, PROVINCIA DE HUAMANGA - AYACUCHO, A CARGO DE LA MUNICIPALIDAD PROVINCIAL DE HUAMANGA",IMPLEMENTACION PLAN COVID EN OBRAS,362,MUNICIPALIDAD PROVINCIAL DE HUAMANGA,AYACUCHO,HUAMANGA,AYACUCHO,SI,13813-2021-CG/PC-SVC,NO PRECISA,"S/ 2,942,395.65","S/ 2,648,156.09",2," INCONSISTENCIAS EN EL PLAN PARA LA VIGILANCIA, PREVENCION Y CONTROL DE LA COVID-19, SITUACION QUE PONE EN RIESGO EL CUMPLIMIENTO DE LAS MEDIDAS PARA DISMINUIR LA TRANSMISIBILIDAD DE LA COVID-19 DURANTE LA EJECUCION DE LA OBRA. ","DURANTE LA EJECUCION DE LA OBRA NO SE CUMPLEN LAS MEDIDAS PREVENTIVAS Y LOS PROTOCOLOS SANITARIOS PARA EVITAR EL CONTAGIO DEL COVID-19, SITUACION QUE PONE EN RIESGO LA SALUD DE LOS TRABAJADORES Y LAS PERSONAS QUE POR ALGUN MOTIVO INGRESEN A LA OBRA.",,,,,18/08/2021,AGOSTO,,,
02-L531-2021-427,"EJECUCION DE LA OBRA: CONSTRUCCION DE PISTAS, VEREDAS Y OBRAS COMPLEMENTARIAS EN LA VIA SANTA ANA - ANDAMARCA - DISTRITO DE AYACUCHO, PROVINCIA DE HUAMANGA - AYACUCHO",EJECUCION DE OBRA,362,MUNICIPALIDAD PROVINCIAL DE HUAMANGA,AYACUCHO,HUAMANGA,AYACUCHO,SI,13817-2021-CG/PC-SVC,NO PRECISA,"S/ 2,942,395.65","S/ 2,648,156.09",3,"EL CUADERNO DE OBRA PRESENTA REGISTROS DESACTUALIZADOS, VULNERANDO LA NORMATIVA EN CONTRATACIONES DEL ESTADO VIGENTE, SITUACION QUE AFECTARIA LA TRANSPARENCIA Y EL CONTROL OPORTUNO DE LAS ACTIVIDADES Y LAS INCIDENCIAS DURANTE LA EJECUCION DE LA OBRA.","LOS MATERIALES UTILIZADOS PARA EL VACIADO DE CONCRETO EN PAVIMENTOS NO REUNEN LAS CONDICIONES DE ALMACENAMIENTO Y TRATAMIENTO REQUERIDAS EN LA NORMATIVA TECNICA APLICABLE, SITUACION QUE AFECTARIA LA DURABILIDAD Y EL FUNCIONAMIENTO DE LA OBRA EN PERJUICIO DE LA POBLACION BENEFICIARIA.","DEFICIENTE IMPLEMENTACION DE LAS ACTIVIDADES DE MITIGACION AMBIENTAL DURANTE LA EJECUCION DE LA OBRA PODRIA AFECTAR LA SALUD DE LOS TRABAJADORES, DEL PERSONAL TECNICO Y DE LA POBLACION BENEFICIARA.",,,,18/08/2021,AGOSTO,,,
02-L531-2021-547,"OPERACION Y MANTENIMIENTO DE LAS CAMARAS DE VIDEOVIGILANCIA EN LA MUNICIPALIDAD PROVINCIAL DE HUAMANGA, DEPARTAMENTO DE AYACUCHO",VC CAMARAS,362,MUNICIPALIDAD PROVINCIAL DE HUAMANGA,AYACUCHO,HUAMANGA,AYACUCHO,SI,19357-2021-CG/PC-SVC,NO PRECISA,S/ 0.00,S/ 0.00,1,"CUATRO (4) CAMARAS DE VIDEOVIGILANCIA DE LA ENTIDAD NO SE ENCUENTRAN EN FUNCIONAMIENTO, SITUACION QUE PODRIA AFECTAR EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA A CARGO DEL GOBIERNO LOCAL.",,,,,,29/09/2021,SEPTIEMBRE,,,
02-L531-2021-678,"OPERACION Y MANTENIMIENTO DE LAS CAMARAS DE VIDEOVIGILANCIA EN LA MUNICIPALIDAD PROVINCIAL DE HUANTA, DEPARTAMENTO DE AYACUCHO",VC CAMARAS,363,MUNICIPALIDAD PROVINCIAL DE HUANTA,AYACUCHO,HUANTA,HUANTA,SI,24004-2021-CG/PC-SVC,NO PRECISA,S/ 0.00,S/ 0.00,1,"UNA (1) CAMARA DE VIDEOVIGILANCIA DE LA ENTIDAD NO SE ENCUENTRA EN FUNCIONAMIENTO, SITUACION QUE PODRIA AFECTAR EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA A CARGO DEL GOBIERNO LOCAL.",,,,,,09/11/2021,NOVIEMBRE,,,
